Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_01x01,SMD_Pad,116.586,-117.348,180.0,bottom
J2,Conn_01x01,SMD_Pad,104.902,-63.754,90.0,bottom
J4,Conn_01x01,SMD_Pad,104.775,-116.586,225.0,bottom
J5,Conn_01x01,SMD_Pad,105.029,-54.229,135.0,bottom
